Datum,WGS84,,,,
WP,UTM,101,54S,269330,4018660
WP,UTM,102,54S,269750,4018600
WP,UTM,103,54S,269302,4018453
WP,UTM,104,54S,269730,4018390
WP,UTM,105,54S,269630,4018190
WP,UTM,106,54S,270000,4018140
WP,UTM,107,54S,269759,4017743
WP,UTM,108,54S,269210,4017826
WP,UTM,109,54S,267710,4017680
WP,UTM,110,54S,267330,4017860
WP,UTM,111,54S,267620,4017480
WP,UTM,112,54S,267460,4016950
WP,UTM,115,54S,266900,4016958
WP,UTM,116,54S,266730,4017030
WP,UTM,117,54S,266740,4016570
WP,UTM,118,54S,266660,4016380
WP,UTM,119,54S,266970,4015790
WP,UTM,121,54S,267130,4016180
WP,UTM,122,54S,267210,4016370
WP,UTM,123,54S,267294,4016564
WP,UTM,124,54S,267580,4016220
WP,UTM,125,54S,267507,4016025
WP,UTM,127,54S,267310,4015650
WP,UTM,128,54S,267250,4015450
WP,UTM,129,54S,267550,4015490
WP,UTM,131,54S,268111,4016201
WP,UTM,132,54S,268250,4016260
WP,UTM,133,54S,268350,4016000
WP,UTM,135,54S,268530,4015520
WP,UTM,138,54S,268670,4016370
WP,UTM,141,54S,269049,4016789
WP,UTM,142,54S,269124,4016572
WP,UTM,143,54S,269120,4016360
WP,UTM,144,54S,269120,4016140
WP,UTM,145,54S,269110,4015930
WP,UTM,146,54S,269279,4016359
WP,UTM,147,54S,269540,4016350
WP,UTM,148,54S,269720,4016350
WP,UTM,149,54S,269880,4016350
WP,UTM,150,54S,270070,4016340
WP,UTM,151,54S,269890,4016740
WP,UTM,152,54S,270390,4016730
WP,UTM,153,54S,270390,4016520
WP,UTM,158,54S,270813,4016332
WP,UTM,159,54S,270587,4016236
WP,UTM,162,54S,270670,4016040
WP,UTM,163,54S,270330,4016127
WP,UTM,164,54S,270070,4016130
WP,UTM,166,54S,269530,4016140
WP,UTM,167,54S,269450,4016140
WP,UTM,168,54S,269447,4015927
WP,UTM,169,54S,269880,4015920
WP,UTM,170,54S,270060,4015910
WP,UTM,171,54S,270280,4015910
WP,UTM,177,54S,269090,4015060
WP,UTM,178,54S,269180,4014860
WP,UTM,179,54S,269330,4014740
WP,UTM,180,54S,269570,4014820
WP,UTM,181,54S,269700,4014990
WP,UTM,182,54S,269880,4014850
WP,UTM,183,54S,269750,4014680
WP,UTM,184,54S,270080,4014600
WP,UTM,185,54S,270180,4014740
WP,UTM,189,54S,270993,4015668
WP,UTM,192,54S,271430,4015020
WP,UTM,195,54S,268537,4014922
WP,UTM,196,54S,268440,4014640
WP,UTM,197,54S,268142,4014537
WP,UTM,198,54S,268520,4014337
WP,UTM,199,54S,268354,4013851
WP,UTM,200,54S,268966,4013575
WP,UTM,201,54S,269160,4014010
WP,UTM,203,54S,269680,4013670
WP,UTM,204,54S,269870,4013880
WP,UTM,205,54S,269710,4014020
WP,UTM,206,54S,269761,4014339
WP,UTM,211,54S,270611,4014068
WP,UTM,212,54S,270830,4014050
WP,UTM,213,54S,271027,4013703
WP,UTM,214,54S,270813,4013707
WP,UTM,215,54S,270604,4013710
WP,UTM,216,54S,270400,4013720
WP,UTM,218,54S,270420,4012850
WP,UTM,219,54S,270600,4012760
WP,UTM,220,54S,270496,4012379
WP,UTM,221,54S,270659,4012185
WP,UTM,223,54S,271040,4011690
WP,UTM,224,54S,271248,4011729
WP,UTM,225,54S,271400,4011420
WP,UTM,226,54S,271200,4011330
WP,UTM,227,54S,271380,4010970
WP,UTM,228,54S,271570,4011060
WP,UTM,229,54S,271700,4010789
WP,UTM,230,54S,272052,4011542
WP,UTM,231,54S,271716,4012348
WP,UTM,232,54S,271790,4012885
WP,UTM,233,54S,270980,4012590
WP,UTM,234,54S,272300,4014600
WP,UTM,236,54S,274263,4011975
WP,UTM,237,54S,271837,4014271
WP,UTM,239,54S,272920,4013740
WP,UTM,240,54S,273680,4013250
WP,UTM,241,54S,273870,4013240
WP,UTM,243,54S,273950,4013170
WP,UTM,244,54S,273940,4013020
WP,UTM,245,54S,274220,4013560
WP,UTM,246,54S,274190,4013350
WP,UTM,247,54S,274160,4013140
WP,UTM,248,54S,274055,4011963
WP,UTM,249,54S,274068,4011751
WP,UTM,250,54S,274270,4011759
WP,UTM,251,54S,272870,4010580
WP,UTM,252,54S,272880,4010510
WP,UTM,254,54S,273700,4010770
WP,UTM,256,54S,272121,4014242
WP,UTM,257,54S,271910,4014000
WP,UTM,258,54S,271790,4013880
WP,UTM,259,54S,272038,4013867
WP,UTM,260,54S,271467,4014776
WP,UTM,261,54S,272090,4014650
WP,UTM,265,54S,273850,4014580
WP,UTM,267,54S,274301,4014114
WP,UTM,271,54S,272770,4013030
WP,UTM,272,54S,271492,4016280
WP,UTM,273,54S,271489,4016073
WP,UTM,274,54S,271196,4016044
WP,UTM,275,54S,270360,4015678
WP,UTM,276,54S,270188,4015471
WP,UTM,277,54S,270277,4014963
WP,UTM,278,54S,270927,4014988
WP,UTM,279,54S,271622,4015464
WP,UTM,281,54S,270811,4013372
WP,UTM,282,54S,270790,4013211
WP,UTM,283,54S,271966,4012715
WP,UTM,284,54S,272169,4012513
WP,UTM,286,54S,272396,4013390
WP,UTM,287,54S,272508,4013287
WP,UTM,288,54S,272847,4014174
WP,UTM,289,54S,273444,4013906
WP,UTM,290,54S,273569,4013978
WP,UTM,291,54S,273638,4013804
WP,UTM,292,54S,273819,4012727
WP,UTM,293,54S,273796,4012587
WP,UTM,294,54S,273917,4012337
WP,UTM,295,54S,274241,4012731
WP,UTM,296,54S,274258,4016621
WP,UTM,297,54S,274162,4016480
WP,UTM,298,54S,274059,4016348
WP,UTM,299,54S,273970,4016207
WP,UTM,300,54S,273875,4016057
WP,UTM,301,54S,274204,4016243
WP,UTM,302,54S,274008,4015960
WP,UTM,303,54S,273948,4015702
WP,UTM,304,54S,274198,4015624
WP,UTM,305,54S,273819,4015097
WP,UTM,306,54S,274587,4015632
WP,UTM,CLP,54S,269280,4014670
,,,,,
