Datum,WGS 84,,,,
WP,UTM,CLP,53S,639890,3861300
WP,UTM,101,53S,640952,3861258
WP,UTM,102,53S,641347,3861398
WP,UTM,103,53S,641853,3861346
WP,UTM,104,53S,642180,3862185
WP,UTM,105,53S,640987,3861465
WP,UTM,106,53S,642611,3862192
WP,UTM,107,53S,642918,3861986
WP,UTM,108,53S,642920,3861776
WP,UTM,109,53S,643387,3861779
WP,UTM,110,53S,643144,3862322
WP,UTM,111,53S,643363,3861977
WP,UTM,112,53S,643106,3861988
WP,UTM,113,53S,644628,3862820
WP,UTM,114,53S,644871,3862992
WP,UTM,115,53S,644560,3862577
WP,UTM,116,53S,645302,3862842
WP,UTM,117,53S,645158,3862420
WP,UTM,118,53S,645275,3861975
WP,UTM,119,53S,645494,3862231
WP,UTM,120,53S,646063,3862369
WP,UTM,121,53S,646197,3862773
WP,UTM,122,53S,647150,3862496
WP,UTM,123,53S,647206,3862702
WP,UTM,124,53S,647316,3863103
WP,UTM,125,53S,647444,3862636
WP,UTM,126,53S,647387,3862431
WP,UTM,127,53S,647862,3862300
WP,UTM,128,53S,648092,3863134
WP,UTM,129,53S,647582,3861299
WP,UTM,130,53S,647687,3861677
WP,UTM,131,53S,647398,3861544
WP,UTM,132,53S,647097,3861387
WP,UTM,133,53S,647214,3861807
WP,UTM,134,53S,646975,3861875
WP,UTM,135,53S,646485,3862010
WP,UTM,136,53S,646431,3861812
WP,UTM,137,53S,646305,3861645
WP,UTM,138,53S,646682,3861098
WP,UTM,139,53S,646669,3860649
WP,UTM,140,53S,646968,3860563
WP,UTM,141,53S,646611,3860448
WP,UTM,142,53S,646853,3860161
WP,UTM,143,53S,646456,3859920
WP,UTM,144,53S,646553,3860245
WP,UTM,145,53S,646067,3860823
WP,UTM,146,53S,646009,3860623
WP,UTM,147,53S,643576,3863880
WP,UTM,148,53S,643072,3863025
WP,UTM,149,53S,642840,3863122
WP,UTM,150,53S,642358,3864293
WP,UTM,151,53S,642109,3864198
WP,UTM,152,53S,642976,3863525
WP,UTM,153,53S,642628,3863570
WP,UTM,154,53S,642249,3863831
WP,UTM,155,53S,642393,3863513
WP,UTM,156,53S,642164,3863146
WP,UTM,157,53S,641365,3864092
WP,UTM,158,53S,639062,3862276
WP,UTM,159,53S,638917,3862360
WP,UTM,160,53S,638993,3860942
WP,UTM,161,53S,638868,3861049
WP,UTM,162,53S,639232,3861227
WP,UTM,163,53S,638151,3866708
WP,UTM,164,53S,638359,3866507
WP,UTM,165,53S,638964,3866303
WP,UTM,166,53S,637807,3865749
WP,UTM,167,53S,638660,3865460
WP,UTM,168,53S,638910,3865550
WP,UTM,169,53S,638052,3865317
WP,UTM,170,53S,637766,3864937
WP,UTM,171,53S,637831,3864823
WP,UTM,172,53S,638040,3864454
WP,UTM,173,53S,636886,3864940
WP,UTM,174,53S,637375,3864594
WP,UTM,175,53S,637425,3864243
WP,UTM,176,53S,637249,3864383
WP,UTM,177,53S,636010,3863704
WP,UTM,178,53S,636860,3862919
WP,UTM,179,53S,637145,3862795
WP,UTM,180,53S,637162,3863018
WP,UTM,181,53S,637562,3862316
WP,UTM,182,53S,637548,3862209
WP,UTM,183,53S,637494,3860766
WP,UTM,184,53S,637900,3861001
WP,UTM,185,53S,635085,3862624
WP,UTM,186,53S,635041,3862367
WP,UTM,187,53S,634884,3861697
WP,UTM,188,53S,634850,3861492
WP,UTM,189,53S,634726,3861724
WP,UTM,190,53S,635073,3859237
WP,UTM,191,53S,636003,3860632
WP,UTM,192,53S,635791,3860723
WP,UTM,193,53S,635444,3860801
WP,UTM,194,53S,637828,3860261
WP,UTM,195,53S,636050,3857773
WP,UTM,196,53S,635534,3857599
WP,UTM,197,53S,635657,3857921
WP,UTM,198,53S,635909,3857993
WP,UTM,199,53S,636085,3858450
WP,UTM,200,53S,636651,3859143
WP,UTM,201,53S,636580,3859267
WP,UTM,202,53S,636818,3859529
WP,UTM,203,53S,636990,3859558
WP,UTM,204,53S,637679,3859818
WP,UTM,205,53S,637725,3859641
WP,UTM,206,53S,638030,3857829
WP,UTM,207,53S,638081,3857617
WP,UTM,208,53S,632420,3856741
WP,UTM,209,53S,632302,3857159
WP,UTM,210,53S,632260,3856998
WP,UTM,211,53S,633489,3856876
